Seq,F1,F2,F3,F4,F5,F6,Class
202,0,0,0,0,0,0,1
203,0,0,0,0,0,0,1
204,0,0,0,0,0,0,0
205,0,0,0,0,0,0,1
206,0,0,0,0,0,0,0
207,0,0,0,0,0,0,1
208,0,0,0,0,0,0,1
209,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0
211,1,1,1,1,1,1,0
212,0,0,0,0,0,0,0
213,0,0,0,0,0,0,0
214,0,0,0,0,0,0,0
215,1,1,1,1,1,1,0
216,1,1,1,1,1,1,0
217,0,0,0,0,0,0,1
218,0,0,0,0,0,0,1
219,1,1,1,1,1,1,0
220,0,0,0,0,0,0,0
221,0,0,0,0,0,0,1
222,2,2,2,2,2,2,0
223,0,0,0,0,0,0,0
224,2,2,2,2,2,2,1
225,1,1,1,1,1,1,1
226,0,0,0,0,0,0,0
227,0,0,0,0,0,0,1
228,0,0,0,0,0,0,0
229,1,1,1,1,1,1,0
231,1,1,1,1,1,1,0
232,0,0,0,0,0,0,0
233,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0
236,1,1,1,1,1,1,0
237,0,0,0,0,0,0,0
238,0,0,0,0,0,0,0
239,1,1,1,1,1,1,0
240,0,0,0,0,0,0,0
241,0,0,0,0,0,0,0
242,0,0,0,0,0,0,0
243,0,0,0,0,0,0,0
244,1,1,1,1,1,1,1
245,0,0,0,0,0,0,1
246,0,0,0,0,0,0,1
247,0,0,0,0,0,0,1
248,3,3,3,3,3,3,0
249,0,0,0,0,0,0,0
250,0,0,0,0,0,0,1
251,0,0,0,0,0,0,0
252,2,2,2,2,2,2,0
253,0,0,0,0,0,0,1
254,0,0,0,0,0,0,1
255,1,1,1,1,1,1,1
256,0,0,0,0,0,0,1
257,0,0,0,0,0,0,0
258,0,0,0,0,0,0,0
259,0,0,0,0,0,0,0
260,0,0,0,0,0,0,0
261,0,0,0,0,0,0,1
262,0,0,0,0,0,0,1
263,0,0,0,0,0,0,1
264,0,0,0,0,0,0,0
265,2,2,2,2,2,2,0
266,0,0,0,0,0,0,0
267,0,0,0,0,0,0,0
268,0,0,0,0,0,0,1
269,2,2,2,2,2,2,0
270,1,1,1,1,1,1,1
271,0,0,0,0,0,0,0
272,0,0,0,0,0,0,1
273,0,0,0,0,0,0,1
274,0,0,0,0,0,0,0
275,0,0,0,0,0,0,0
276,1,1,1,1,1,1,0
277,2,2,2,2,2,2,0
278,1,1,1,1,1,1,1
279,1,1,1,1,1,1,0
280,1,1,1,1,1,1,0
281,1,1,1,1,1,1,0
282,0,0,0,0,0,0,0
283,1,1,1,1,1,1,1
284,0,0,0,0,0,0,0
285,0,0,0,0,0,0,1
286,0,0,0,0,0,0,0
287,0,0,0,0,0,0,1
288,0,0,0,0,0,0,0
289,0,0,0,0,0,0,0
290,0,0,0,0,0,0,1
291,1,1,1,1,1,1,0
292,1,1,1,1,1,1,0
293,0,0,0,0,0,0,1
294,0,0,0,0,0,0,0
295,0,0,0,0,0,0,0
297,1,1,1,1,1,1,1
298,0,0,0,0,0,0,0
299,0,0,0,0,0,0,1
300,0,0,0,0,0,0,0
301,2,2,2,2,2,2,0
302,2,2,2,2,2,2,0
303,0,0,0,0,0,0,0
304,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0
306,0,0,0,0,0,0,0
307,0,0,0,0,0,0,1
308,0,0,0,0,0,0,0
309,0,0,0,0,0,0,0
310,0,0,0,0,0,0,0
311,0,0,0,0,0,0,0
312,1,1,1,1,1,1,1
313,0,0,0,0,0,0,1
314,0,0,0,0,0,0,0
315,0,0,0,0,0,0,0
316,0,0,0,0,0,0,1
317,1,1,1,1,1,1,1
318,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0
320,0,0,0,0,0,0,0
321,0,0,0,0,0,0,1
322,0,0,0,0,0,0,1
323,3,3,3,3,3,3,0
324,2,2,2,2,2,2,0
325,0,0,0,0,0,0,0
326,0,0,0,0,0,0,0
327,0,0,0,0,0,0,0
328,0,0,0,0,0,0,0
329,0,0,0,0,0,0,1
330,2,2,2,2,2,2,0
332,0,0,0,0,0,0,1
334,0,0,0,0,0,0,0
335,0,0,0,0,0,0,1
336,1,1,1,1,1,1,0
337,0,0,0,0,0,0,1
338,0,0,0,0,0,0,0
339,0,0,0,0,0,0,0
340,1,1,1,1,1,1,1
341,0,0,0,0,0,0,1
342,1,1,1,1,1,1,1
343,1,1,1,1,1,1,0
344,0,0,0,0,0,0,0
345,1,1,1,1,1,1,0
346,0,0,0,0,0,0,0
347,0,0,0,0,0,0,0
348,0,0,0,0,0,0,0
349,2,2,2,2,2,2,0
350,0,0,0,0,0,0,0
351,1,1,1,1,1,1,0
352,0,0,0,0,0,0,0
353,0,0,0,0,0,0,0
354,0,0,0,0,0,0,0
355,1,1,1,1,1,1,0
356,1,1,1,1,1,1,0
357,0,0,0,0,0,0,0
358,2,2,2,2,2,2,0
359,0,0,0,0,0,0,1
360,0,0,0,0,0,0,0
361,1,1,1,1,1,1,0
362,0,0,0,0,0,0,1
363,0,0,0,0,0,0,0
364,0,0,0,0,0,0,0
365,0,0,0,0,0,0,0
366,0,0,0,0,0,0,1
367,0,0,0,0,0,0,1
368,1,1,1,1,1,1,1
369,0,0,0,0,0,0,0
370,1,1,1,1,1,1,1
371,0,0,0,0,0,0,1
372,0,0,0,0,0,0,0
373,0,0,0,0,0,0,1
375,0,0,0,0,0,0,0
377,0,0,0,0,0,0,1
378,0,0,0,0,0,0,0
379,3,3,3,3,3,3,1
380,3,3,3,3,3,3,1
381,0,0,0,0,0,0,0
382,0,0,0,0,0,0,0
383,0,0,0,0,0,0,1
384,1,1,1,1,1,1,0
385,0,0,0,0,0,0,1
386,1,1,1,1,1,1,0
387,0,0,0,0,0,0,0
388,0,0,0,0,0,0,1
389,0,0,0,0,0,0,0
390,0,0,0,0,0,0,1
391,0,0,0,0,0,0,0
392,1,1,1,1,1,1,0
393,0,0,0,0,0,0,0
394,3,3,3,3,3,3,0
395,0,0,0,0,0,0,0
396,0,0,0,0,0,0,0
397,1,1,1,1,1,1,0
399,0,0,0,0,0,0,0
